rank,channel_info,influence_score,posts,followers,avg_likes,new_post_avg_like,total_likes,country,eng_rate
1,cristiano,92,3300,475800000,8700000,6500000,29000000000,Spain,0.0139
2,kyliejenner,91,6900,366200000,8300000.000000001,5900000,57400000000,United States,0.016200000000000003
3,leomessi,90,890,357300000,6800000,4400000,6000000000,Not Listed,0.0124
4,selenagomez,93,1800,342700000,6200000,3300000,11500000000,United States,0.0097
5,therock,91,6800,334100000,1900000,665300,12500000000,United States,0.002
6,kimkardashian,91,5600,329200000,3500000,2900000,19900000000,United States,0.0088
7,arianagrande,92,5000,327700000,3700000,3900000,18400000000,United States,0.012
8,beyonce,92,2000,272800000,3600000,2000000,7400000000,United States,0.0076
9,khloekardashian,89,4100,268300000,2400000,926900,9800000000,United States,0.0034999999999999996
10,justinbieber,91,7400,254500000,1900000,1500000,13900000000,Canada,0.0059
11,kendalljenner,90,660,254000000,5500000,5100000,3700000000,United States,0.0204
12,natgeo,91,10000,237000000,302200,159300,3000000000,United States,7.000000000000001e-4
13,nike,90,950,234100000,329000,181800,313600000,United States,8e-4
14,taylorswift,91,530,222200000,2400000,2300000,1300000000,United States,0.0101
15,jlo,89,3200,220400000,1700000,1400000,5300000000,United States,0.0062
16,virat.kohli,87,1400,211800000,3500000,2000000,4900000000,Not Listed,0.0096
17,nickiminaj,90,6400,201600000,2100000,1000000,13500000000,United States,0.0053
18,kourtneykardash,89,4400,195200000,1800000,1300000,7700000000,United States,0.0067
19,mileycyrus,89,1200,181500000,1300000,913600,1600000000,Not Listed,0.0051
20,neymarjr,90,5300,177100000,2700000,1900000,14100000000,Brazil,0.0109
21,katyperry,92,2000,170300000,715000,265100,1500000000,Not Listed,0.0016
22,kevinhart4real,88,8200,152000000,522000,115200,4300000000,United States,8e-4
23,zendaya,87,3500,150700000,5800000,4800000,20600000000,United States,0.0317
24,iamcardib,75,1600,140500000,3100000,1500000,5000000000,United States,0.011000000000000001
25,ddlovato,88,80,139100000,1100000,363400,91300000,United States,0.0027
26,badgalriri,88,4800,135300000,3700000,0,17900000000,United States,2e-4
27,kingjames,86,2300,130900000,2100000,1200000,4900000000,Not Listed,0.0092
28,theellenshow,87,10000,125100000,420500,81700,4200000000,United States,7.000000000000001e-4
29,realmadrid,90,6900,123400000,996200,588300,6800000000,Spain,0.0048
30,champagnepapi,85,5200,119600000,1700000,1300000,9000000000,Netherlands,0.011000000000000001
31,chrisbrownofficial,86,7300,118500000,463200,255900,3400000000,United States,0.0022
32,fcbarcelona,90,10000,111400000,1200000,706300,11600000000,Not Listed,0.0064
33,billieeilish,73,690,105200000,8500000,5200000,5900000000,Not Listed,0.050199999999999995
34,dualipa,74,1300,85900000,2100000,1100000,2600000000,United Kingdom,0.0126
35,gal_gadot,85,1700,85600000,1400000,586500,2300000000,United States,0.0069
36,vindiesel,88,1800,82300000,1400000,482300,2500000000,United States,0.006
37,nasa,88,3600,81300000,1200000,1200000,4200000000,United States,0.015300000000000001
38,priyankachopra,85,3600,81100000,1600000,802900,5600000000,United States,0.01
39,lalalalisa_m,70,870,80900000,5800000,7200000,5100000000,Not Listed,0.09
40,Shakira,88,2000,76100000,975100,304700,1900000000,Not Listed,0.0040999999999999995
41,snoopdogg,86,10000,75300000,203700,125800,2000000000,Not Listed,0.0017000000000000001
42,gigihadid,85,3300,75300000,2500000,1900000,8199999999.999999,United States,0.0256
43,davidbeckham,86,1500,74900000,1200000,340900,1900000000,United States,0.0046
44,shraddhakapoor,81,1900,73900000,1600000,859900,3000000000,Not Listed,0.011699999999999999
45,victoriassecret,88,2900,73200000,147000,29800,423500000,United States,4e-4
46,k.mbappe,86,1200,72700000,2500000,1600000,2800000000,Not Listed,0.0216
47,nehakakkar,84,2300,70400000,1500000,370100,3500000000,India,0.0054
48,nba,87,12900,70100000,370800,196900,4800000000,United States,0.0028000000000000004
49,shawnmendes,83,2500,69900000,3500000,2000000,8800000000,Canada,0.0287
50,jennierubyjane,76,860,68900000,5100000,5700000,4400000000,Not Listed,0.0836
51,narendramodi,85,540,68900000,2900000,2000000,1600000000,India,0.0301
52,aliaabhatt,82,1800,68700000,1800000,2100000,3300000000,India,0.031400000000000004
53,deepikapadukone,83,260,68400000,1600000,1500000,419000000,India,0.0223
54,tomholland2013,77,1200,67700000,5400000,7300000,6600000000,Not Listed,0.10830000000000001
55,ronaldinho,78,2900,67700000,872900,325700,2600000000,Brazil,0.0049
56,emmawatson,87,340,67300000,1900000,0,639000000,United States,1e-4
57,bts.bighitofficial,78,1200,66900000.00000001,4099999.9999999995,3600000,4900000000,Uruguay,0.054000000000000006
58,katrinakaif,85,1000,66300000,1700000,1500000,1700000000,India,0.0225
59,marvel,82,7000,66200000,332300,339000,2300000000,Turkey,0.0051
60,justintimberlake,87,780,65900000.00000001,600400,189400,470700000,United States,0.003
61,camila_cabello,77,2900,65000000,1900000,1400000,5400000000,United States,0.0219
62,willsmith,82,1400,63900000,1400000,0,1900000000,United States,2e-4
63,raffinagita1717,83,17500,63500000,386900,366600,6800000000,Indonesia,0.0058
64,anitta,82,5100,63100000,855500,426200,4400000000,United States,0.0069
65,sooyaaa__,82,830,62900000,4500000,5900000,3800000000,Not Listed,0.0943
66,maluma,84,8200,62800000,1200000,696300,9800000000,Colombia,0.011200000000000002
67,akshaykumar,85,1900,62800000,1500000,624900,2900000000,Not Listed,0.0101
68,jacquelinef143,85,2400,62700000,1100000,718800,2800000000,India,0.0115
69,psg,86,10000,61900000,500500,322200,5000000000,France,0.0052
70,roses_are_rosie,82,820,61800000,4600000,6000000,3800000000,Not Listed,0.09720000000000001
71,manchesterunited,85,9900,59600000,381800,241600,3800000000,United Kingdom,0.0040999999999999995
